类别,尺寸,颜色,目的地,业务类型,国家,价格,数量,折扣
配件,262 oz,红色,澳大利亚,自行车专卖店,澳大利亚,174,225,23
配件,214 oz,黄色,加拿大,自行车专卖店,加拿大,502,90,17
配件,147 oz,白色,法国,自行车专卖店,法国,242,855,37
配件,112 oz,黄色,德国,自行车专卖店,德国,102,897,42
配件,256 oz,红色,英国,自行车专卖店,英国,126,115,44
配件,278 oz,黄色,美国,自行车专卖店,美国,1246,88,47
配件,8 oz,绿色,澳大利亚,经销商,澳大利亚,680,66,80
配件,181 oz,黄色,加拿大,经销商,加拿大,1241,939,66 
配件,181 oz,黄色,加拿大,经销商,加拿大,1241,939,66
配件,344 oz,黄色,法国,经销商,法国,150,67,30
配件,291 oz,红色,德国,经销商,德国,244,963,22
配件,126 oz,黄色,英国,经销商,英国,501,556,9
配件,317 oz,红色,美国,经销商,美国,4960,898,41
配件,124 oz,黄色,澳大利亚,批发,澳大利亚,9,578,8
配件,23 oz,红色,加拿大,批发,加拿大,3655,64,70
配件,124 oz,绿色,法国,批发,法国,1654,556,95
配件,310 oz,黄色,德国,批发,德国,1190,292,36
配件,277 oz,红色,英国,批发,英国,1222,730,38
配件,47 oz,白色,美国,批发,美国,7941,73,53
自行车,264 oz,白色,澳大利亚,自行车专卖店,澳大利亚,6829,19,56
自行车,76 oz,红色,加拿大,自行车专卖店,加拿大,1664,19,75
自行车,217 oz,红色,法国,自行车专卖店,法国,2995,98,88
自行车,251 oz,绿色,德国,自行车专卖店,德国,1487,96,100
自行车,292 oz,绿色,英国,自行车专卖店,英国,9245,51,29
自行车,266 oz,绿色,美国,自行车专卖店,美国,9008,76,66
自行车,198 oz,绿色,澳大利亚,经销商,澳大利亚,9376,92,7
自行车,109 oz,红色,加拿大,经销商,加拿大,1531,56,31
自行车,54 oz,黄色,法国,经销商,法国,5421,83,22
自行车,93 oz,红色,德国,经销商,德国,6975,73,41
自行车,297 oz,蓝色,英国,经销商,英国,4320,59,100
自行车,339 oz,红色,澳大利亚,经销商,美国,3200,27,41
自行车,205 oz,蓝色,加拿大,批发,澳大利亚,6688,22,41
自行车,226 oz,蓝色,法国,批发,加拿大,699,22,42
自行车,311 oz,紫色,德国,批发,法国,5403,75,70
自行车,282 oz,红色,英国,批发,德国,6377,28,49
自行车,286 oz,蓝色,美国,批发,英国,2471,93,14
自行车,100 oz,蓝色,澳大利亚,批发,美国,6650,40,4
服装,218 oz,黄色,加拿大,自行车专卖店,澳大利亚,865,4513,70
服装,216 oz,蓝色,法国,自行车专卖店,加拿大,511,4615,20
服装,284 oz,蓝色,德国,自行车专卖店,法国,981,1854,36
服装,325 oz,蓝色,英国,自行车专卖店,德国,57,1187,10
服装,192 oz,白色,美国,自行车专卖店,英国,675,1527,38
服装,25 oz,紫色,澳大利亚,自行车专卖店,美国,40,4342,72
服装,95 oz,红色,加拿大,经销商,澳大利亚,400,8975,63
服装,39 oz,紫色,法国,经销商,加拿大,971,3522,90
服装,36 oz,绿色,德国,经销商,法国,357,3939,93
服装,208 oz,红色,英国,经销商,德国,820,3560,40
服装,3 oz,白色,美国,经销商,英国,520,3892,32
服装,147 oz,白色,澳大利亚,经销商,美国,448,3906,24
服装,68 oz,红色,英国,批发,澳大利亚,513,9790,40
服装,267 oz,蓝色,美国,批发,加拿大,977,6107,8
服装,33 oz,绿色,澳大利亚,批发,法国,118,4718,84
服装,319 oz,蓝色,加拿大,批发,德国,161,7988,29
服装,326 oz,绿色,法国,批发,英国,239,840,89
服装,184 oz,绿色,德国,批发,美国,327,6574,79
零件,255 oz,红色,英国,自行车专卖店,澳大利亚,284,2471,42
零件,144 oz,绿色,美国,自行车专卖店,加拿大,827,4772,26
零件,283 oz,红色,澳大利亚,自行车专卖店,法国,967,1646,42
零件,299 oz,蓝色,英国,自行车专卖店,德国,569,6568,58
零件,88 oz,蓝色,美国,自行车专卖店,英国,156,7585,35
零件,161 oz,红色,澳大利亚,自行车专卖店,美国,845,4208,42
零件,242 oz,蓝色,加拿大,经销商,澳大利亚,838,6460,41
零件,25 oz,红色,法国,经销商,加拿大,51,410,97
零件,317 oz,蓝色,德国,经销商,法国,95,2307,64
零件,295 oz,红色,法国,经销商,德国,885,6843,10
零件,69 oz,蓝色,德国,经销商,英国,239,7541,36
零件,320 oz,蓝色,英国,经销商,美国,145,7978,78
零件,104 oz,绿色,美国,批发,澳大利亚,605,458,72
零件,34 oz,白色,澳大利亚,批发,加拿大,778,8918,89
零件,194 oz,蓝色,加拿大,经销商,澳大利亚,434,1297,60
零件,340 oz,红色,澳大利亚,经销商,加拿大,732,8420,62
零件,49 oz,蓝色,加拿大,经销商,法国,780,5535,29
零件,94 oz,红色,法国,经销商,德国,85,2063,98
零件,203 oz,蓝色,德国,经销商,英国,672,316,62
零件,350 oz,蓝色,英国,经销商,美国,389,4900,46
零件,106 oz,绿色,美国,批发,澳大利亚,81,3674,34
零件,348 oz,白色,德国,批发,加拿大,959,4819,14
零件,200 oz,绿色,英国,批发,澳大利亚,666,780,88
零件,209 oz,白色,美国,批发,加拿大,326,7308,29
零件,220 oz,白色,澳大利亚,批发,法国,550,3635,99
零件,303 oz,蓝色,加拿大,批发,德国,192,2895,77
零件,193 oz,白色,澳大利亚,批发,英国,564,4306,53
零件,53 oz,蓝色,加拿大,批发,美国,751,4835,34
